patent_id,title,abstract,year,patent_number,status
P089,System Cloud Quantum,This patent describes System Cloud Quantum.,2025,US100089,Granted
P090,Optimization Framework Analysis,This patent describes Optimization Framework Analysis.,2025,US100090,Pending
P091,System Optimization Predictive,This patent describes System Optimization Predictive.,2025,US100091,Pending
P092,Vision Cloud System,This patent describes Vision Cloud System.,2025,US100092,Granted
P093,Vision Optimization Autonomous,This patent describes Vision Optimization Autonomous.,2022,US100093,Granted
P094,Vision Analysis Framework,This patent describes Vision Analysis Framework.,2019,US100094,Granted
P095,Secure Cloud Monitoring,This patent describes Secure Cloud Monitoring.,2020,US100095,Granted
P096,Autonomous Control Framework,This patent describes Autonomous Control Framework.,2023,US100096,Pending
P097,Control Smart Medical,This patent describes Control Smart Medical.,2024,US100097,Pending
P098,AI Monitoring Platform,This patent describes AI Monitoring Platform.,2018,US100098,Pending
P099,Learning Monitoring Control,This patent describes Learning Monitoring Control.,2021,US100099,Pending
P100,Cloud Vision Control,This patent describes Cloud Vision Control.,2025,US100100,Granted
P101,Monitoring Analysis System,This patent describes Monitoring Analysis System.,2020,US100101,Pending
P102,Secure AI Monitoring,This patent describes Secure AI Monitoring.,2018,US100102,Granted
P103,Control Secure Optimization,This patent describes Control Secure Optimization.,2020,US100103,Granted
P104,Vision Monitoring Analysis,This patent describes Vision Monitoring Analysis.,2021,US100104,Pending
P105,Analysis System Monitoring,This patent describes Analysis System Monitoring.,2022,US100105,Pending
P106,Vision Autonomous Platform,This patent describes Vision Autonomous Platform.,2018,US100106,Granted
P107,Detection Cloud Autonomous,This patent describes Detection Cloud Autonomous.,2018,US100107,Granted
P108,Cloud Medical AI,This patent describes Cloud Medical AI.,2020,US100108,Granted
P109,Secure Platform Quantum,This patent describes Secure Platform Quantum.,2021,US100109,Pending
P110,Vision Detection Predictive,This patent describes Vision Detection Predictive.,2019,US100110,Granted
P111,Learning Quantum AI,This patent describes Learning Quantum AI.,2022,US100111,Pending
P112,Monitoring Medical Autonomous,This patent describes Monitoring Medical Autonomous.,2021,US100112,Granted
P113,Learning Quantum Smart,This patent describes Learning Quantum Smart.,2023,US100113,Pending
P114,Detection Autonomous Analysis,This patent describes Detection Autonomous Analysis.,2018,US100114,Pending
P115,Platform Quantum Control,This patent describes Platform Quantum Control.,2023,US100115,Pending
P116,Secure Control Predictive,This patent describes Secure Control Predictive.,2022,US100116,Pending
P117,Optimization Control Vision,This patent describes Optimization Control Vision.,2023,US100117,Granted
P118,Autonomous Vision Optimization,This patent describes Autonomous Vision Optimization.,2021,US100118,Pending
P119,Monitoring Analysis AI,This patent describes Monitoring Analysis AI.,2025,US100119,Pending
P120,Predictive Platform Medical,This patent describes Predictive Platform Medical.,2023,US100120,Pending
P121,Analysis Vision Framework,This patent describes Analysis Vision Framework.,2018,US100121,Granted
P122,Autonomous Cloud Control,This patent describes Autonomous Cloud Control.,2025,US100122,Granted
P123,Platform System Optimization,This patent describes Platform System Optimization.,2018,US100123,Granted
P124,Learning Cloud Monitoring,This patent describes Learning Cloud Monitoring.,2021,US100124,Pending
P125,Detection Platform System,This patent describes Detection Platform System.,2024,US100125,Pending
P126,Detection Optimization Vision,This patent describes Detection Optimization Vision.,2022,US100126,Pending
P127,Cloud Quantum Medical,This patent describes Cloud Quantum Medical.,2023,US100127,Granted
P128,System Predictive Medical,This patent describes System Predictive Medical.,2021,US100128,Pending
P129,Vision Framework Learning,This patent describes Vision Framework Learning.,2019,US100129,Granted
P130,Learning Cloud Detection,This patent describes Learning Cloud Detection.,2020,US100130,Pending
P131,AI Secure Vision,This patent describes AI Secure Vision.,2018,US100131,Granted
P132,System Learning Secure,This patent describes System Learning Secure.,2025,US100132,Granted
P133,AI Learning Platform,This patent describes AI Learning Platform.,2025,US100133,Pending
P134,Analysis Predictive Smart,This patent describes Analysis Predictive Smart.,2022,US100134,Pending
P135,Quantum Autonomous Monitoring,This patent describes Quantum Autonomous Monitoring.,2025,US100135,Granted
P136,Smart Secure Framework,This patent describes Smart Secure Framework.,2022,US100136,Granted
P137,Cloud Quantum Control,This patent describes Cloud Quantum Control.,2021,US100137,Pending
P138,Optimization System Learning,This patent describes Optimization System Learning.,2024,US100138,Pending
P139,Smart Quantum Medical,This patent describes Smart Quantum Medical.,2021,US100139,Pending
P140,Autonomous Predictive Cloud,This patent describes Autonomous Predictive Cloud.,2020,US100140,Granted
P141,Predictive AI Control,This patent describes Predictive AI Control.,2025,US100141,Pending
P142,Learning Smart Cloud,This patent describes Learning Smart Cloud.,2022,US100142,Pending
P143,Optimization Autonomous Cloud,This patent describes Optimization Autonomous Cloud.,2022,US100143,Granted
P144,Control Quantum Cloud,This patent describes Control Quantum Cloud.,2020,US100144,Pending
P145,Secure Autonomous Smart,This patent describes Secure Autonomous Smart.,2020,US100145,Pending
P146,Learning Optimization Quantum,This patent describes Learning Optimization Quantum.,2025,US100146,Pending
P147,Monitoring Vision Platform,This patent describes Monitoring Vision Platform.,2025,US100147,Granted
P148,Smart Control Analysis,This patent describes Smart Control Analysis.,2022,US100148,Granted
P149,Autonomous Cloud AI,This patent describes Autonomous Cloud AI.,2022,US100149,Granted
P150,Predictive Platform Optimization,This patent describes Predictive Platform Optimization.,2022,US100150,Granted
P151,Control Platform Autonomous,This patent describes Control Platform Autonomous.,2025,US100151,Pending
P152,Control Analysis Framework,This patent describes Control Analysis Framework.,2019,US100152,Granted
P153,Analysis Control Platform,This patent describes Analysis Control Platform.,2022,US100153,Pending
P154,System Smart Optimization,This patent describes System Smart Optimization.,2019,US100154,Pending
P155,Vision Analysis Quantum,This patent describes Vision Analysis Quantum.,2024,US100155,Granted
P156,System Optimization Control,This patent describes System Optimization Control.,2018,US100156,Granted
P157,Framework Detection Platform,This patent describes Framework Detection Platform.,2025,US100157,Granted
P158,Medical Vision Secure,This patent describes Medical Vision Secure.,2022,US100158,Pending
P159,Platform Quantum AI,This patent describes Platform Quantum AI.,2021,US100159,Granted
P160,Learning AI Control,This patent describes Learning AI Control.,2019,US100160,Granted
P161,Quantum Optimization System,This patent describes Quantum Optimization System.,2020,US100161,Pending
P162,Learning Framework Vision,This patent describes Learning Framework Vision.,2024,US100162,Pending
P163,Platform Cloud Optimization,This patent describes Platform Cloud Optimization.,2020,US100163,Pending
P164,Medical Framework Secure,This patent describes Medical Framework Secure.,2019,US100164,Pending
P165,Control Analysis Vision,This patent describes Control Analysis Vision.,2018,US100165,Pending
P166,Learning Platform Secure,This patent describes Learning Platform Secure.,2025,US100166,Pending
P167,Detection Analysis Monitoring,This patent describes Detection Analysis Monitoring.,2025,US100167,Pending
P168,Medical Cloud Monitoring,This patent describes Medical Cloud Monitoring.,2021,US100168,Pending
P169,Smart Analysis Platform,This patent describes Smart Analysis Platform.,2024,US100169,Pending
P170,Secure Platform Smart,This patent describes Secure Platform Smart.,2020,US100170,Pending
P171,Quantum Optimization System,This patent describes Quantum Optimization System.,2025,US100171,Granted
P172,Secure Control System,This patent describes Secure Control System.,2019,US100172,Pending
P173,Vision Analysis Monitoring,This patent describes Vision Analysis Monitoring.,2019,US100173,Pending
P174,System Monitoring Analysis,This patent describes System Monitoring Analysis.,2025,US100174,Granted
P175,Autonomous Cloud Learning,This patent describes Autonomous Cloud Learning.,2021,US100175,Granted
P176,Control Quantum Framework,This patent describes Control Quantum Framework.,2025,US100176,Granted
P177,Learning AI Smart,This patent describes Learning AI Smart.,2023,US100177,Granted
P178,Learning Detection Framework,This patent describes Learning Detection Framework.,2024,US100178,Granted
P179,Cloud Framework Control,This patent describes Cloud Framework Control.,2020,US100179,Granted
P180,Predictive Autonomous Monitoring,This patent describes Predictive Autonomous Monitoring.,2021,US100180,Pending
P181,Secure Cloud Optimization,This patent describes Secure Cloud Optimization.,2022,US100181,Pending
P182,Vision AI Optimization,This patent describes Vision AI Optimization.,2022,US100182,Granted
P183,Autonomous Optimization Detection,This patent describes Autonomous Optimization Detection.,2022,US100183,Pending
P184,Vision Optimization Learning,This patent describes Vision Optimization Learning.,2021,US100184,Pending
P185,Platform Quantum Cloud,This patent describes Platform Quantum Cloud.,2024,US100185,Pending
P186,Learning System AI,This patent describes Learning System AI.,2024,US100186,Pending
P187,AI Smart Platform,This patent describes AI Smart Platform.,2022,US100187,Granted
P188,Detection Cloud Medical,This patent describes Detection Cloud Medical.,2022,US100188,Granted
P189,Quantum Smart Learning,This patent describes Quantum Smart Learning.,2025,US100189,Granted
P190,Detection Secure Autonomous,This patent describes Detection Secure Autonomous.,2022,US100190,Pending
P191,Control Predictive Medical,This patent describes Control Predictive Medical.,2020,US100191,Pending
P192,Framework System Vision,This patent describes Framework System Vision.,2020,US100192,Pending
P193,Platform Learning Analysis,This patent describes Platform Learning Analysis.,2019,US100193,Pending
P194,Autonomous Secure Cloud,This patent describes Autonomous Secure Cloud.,2024,US100194,Pending
P195,Autonomous Monitoring AI,This patent describes Autonomous Monitoring AI.,2022,US100195,Granted
P196,Optimization Detection Vision,This patent describes Optimization Detection Vision.,2024,US100196,Pending
P197,Quantum Cloud Platform,This patent describes Quantum Cloud Platform.,2018,US100197,Pending
P198,Cloud Autonomous Optimization,This patent describes Cloud Autonomous Optimization.,2022,US100198,Pending
P199,Quantum Secure Smart,This patent describes Quantum Secure Smart.,2018,US100199,Pending
P200,Platform Quantum Framework,This patent describes Platform Quantum Framework.,2021,US100200,Granted
